date,ticker,price
2024-01-01,AAPL,150.44437099459563
2024-01-02,AAPL,151.46042109838902
2024-01-03,AAPL,149.52554044030242
2024-01-04,AAPL,147.422430180951
2024-01-05,AAPL,147.64067152304176
2024-01-06,AAPL,147.87316853191504
2024-01-07,AAPL,147.65009340480478
2024-01-08,AAPL,146.22225329439937
2024-01-09,AAPL,144.34712622622078
2024-01-10,AAPL,142.79191069719116
2024-01-11,AAPL,143.38273398495988
2024-01-12,AAPL,145.79152089341432
2024-01-13,AAPL,144.9109188798096
2024-01-14,AAPL,143.42166757696432
2024-01-15,AAPL,143.72334485193272
2024-01-16,AAPL,144.78760131977143
2024-01-17,AAPL,144.0072117765257
2024-01-18,AAPL,143.77214765175106
2024-01-19,AAPL,145.59104003607294
2024-01-20,AAPL,146.75996193090918
