month,division,line,delays,is_weekend,delay_rate_line,category_flag_infra
2024-12-01,A DIVISION,1,83,0,1.0255343165079474,0
2024-12-01,A DIVISION,1,4,0,1.0255343165079474,0
2024-12-01,A DIVISION,1,37,0,1.0255343165079474,1
2024-12-01,A DIVISION,1,34,0,1.0255343165079474,1
2024-12-01,A DIVISION,1,37,0,1.0255343165079474,1
2024-12-01,A DIVISION,1,22,0,1.0255343165079474,1
2024-12-01,A DIVISION,1,1,0,1.0255343165079474,1
2024-12-01,A DIVISION,1,11,0,1.0255343165079474,1
2024-12-01,A DIVISION,1,424,0,1.0255343165079474,1
2024-12-01,A DIVISION,1,14,0,1.0255343165079474,1
2024-12-01,A DIVISION,1,210,0,1.0255343165079474,1
2024-12-01,A DIVISION,1,141,0,1.0255343165079474,1
2024-12-01,A DIVISION,1,3,0,1.0255343165079474,1
2024-12-01,A DIVISION,1,195,0,1.0255343165079474,0
2024-12-01,A DIVISION,1,20,0,1.0255343165079474,0
2024-12-01,A DIVISION,1,233,0,1.0255343165079474,0
2024-12-01,A DIVISION,1,2,0,1.0255343165079474,0
2024-12-01,A DIVISION,1,156,0,1.0255343165079474,0
2024-12-01,A DIVISION,1,276,0,1.0255343165079474,0
2024-12-01,A DIVISION,1,119,0,1.0255343165079474,0
2024-12-01,A DIVISION,1,26,1,1.0255343165079474,0
2024-12-01,A DIVISION,1,7,1,1.0255343165079474,1
2024-12-01,A DIVISION,1,8,1,1.0255343165079474,1
2024-12-01,A DIVISION,1,3,1,1.0255343165079474,1
2024-12-01,A DIVISION,1,8,1,1.0255343165079474,1
2024-12-01,A DIVISION,1,3,1,1.0255343165079474,1
2024-12-01,A DIVISION,1,51,1,1.0255343165079474,1
2024-12-01,A DIVISION,1,3,1,1.0255343165079474,1
2024-12-01,A DIVISION,1,66,1,1.0255343165079474,1
2024-12-01,A DIVISION,1,18,1,1.0255343165079474,1
2024-12-01,A DIVISION,1,23,1,1.0255343165079474,0
2024-12-01,A DIVISION,1,10,1,1.0255343165079474,0
2024-12-01,A DIVISION,1,56,1,1.0255343165079474,0
2024-12-01,A DIVISION,1,3,1,1.0255343165079474,0
2024-12-01,A DIVISION,1,39,1,1.0255343165079474,0
2024-12-01,A DIVISION,1,9,1,1.0255343165079474,0
2024-12-01,A DIVISION,2,78,0,1.1860152562409947,0
2024-12-01,A DIVISION,2,8,0,1.1860152562409947,0
2024-12-01,A DIVISION,2,10,0,1.1860152562409947,0
2024-12-01,A DIVISION,2,105,0,1.1860152562409947,1
2024-12-01,A DIVISION,2,28,0,1.1860152562409947,1
2024-12-01,A DIVISION,2,9,0,1.1860152562409947,1
2024-12-01,A DIVISION,2,16,0,1.1860152562409947,1
2024-12-01,A DIVISION,2,27,0,1.1860152562409947,1
2024-12-01,A DIVISION,2,22,0,1.1860152562409947,1
2024-12-01,A DIVISION,2,261,0,1.1860152562409947,1
2024-12-01,A DIVISION,2,84,0,1.1860152562409947,1
2024-12-01,A DIVISION,2,73,0,1.1860152562409947,1
2024-12-01,A DIVISION,2,5,0,1.1860152562409947,1
2024-12-01,A DIVISION,2,289,0,1.1860152562409947,0
2024-12-01,A DIVISION,2,18,0,1.1860152562409947,0
2024-12-01,A DIVISION,2,389,0,1.1860152562409947,0
2024-12-01,A DIVISION,2,149,0,1.1860152562409947,0
2024-12-01,A DIVISION,2,523,0,1.1860152562409947,0
2024-12-01,A DIVISION,2,210,0,1.1860152562409947,0
2024-12-01,A DIVISION,2,32,1,1.1860152562409947,0
2024-12-01,A DIVISION,2,3,1,1.1860152562409947,0
2024-12-01,A DIVISION,2,23,1,1.1860152562409947,0
2024-12-01,A DIVISION,2,1,1,1.1860152562409947,1
2024-12-01,A DIVISION,2,10,1,1.1860152562409947,1
2024-12-01,A DIVISION,2,5,1,1.1860152562409947,1
2024-12-01,A DIVISION,2,2,1,1.1860152562409947,1
2024-12-01,A DIVISION,2,1,1,1.1860152562409947,1
2024-12-01,A DIVISION,2,1,1,1.1860152562409947,1
2024-12-01,A DIVISION,2,83,1,1.1860152562409947,1
2024-12-01,A DIVISION,2,4,1,1.1860152562409947,1
2024-12-01,A DIVISION,2,1,1,1.1860152562409947,1
2024-12-01,A DIVISION,2,48,1,1.1860152562409947,1
2024-12-01,A DIVISION,2,8,1,1.1860152562409947,1
2024-12-01,A DIVISION,2,183,1,1.1860152562409947,0
2024-12-01,A DIVISION,2,45,1,1.1860152562409947,0
2024-12-01,A DIVISION,2,138,1,1.1860152562409947,0
2024-12-01,A DIVISION,2,10,1,1.1860152562409947,0
2024-12-01,A DIVISION,2,30,1,1.1860152562409947,0
2024-12-01,A DIVISION,2,234,1,1.1860152562409947,0
2024-12-01,A DIVISION,2,56,1,1.1860152562409947,0
2024-12-01,A DIVISION,3,45,0,0.7128522478240096,0
2024-12-01,A DIVISION,3,1,0,0.7128522478240096,0
2024-12-01,A DIVISION,3,96,0,0.7128522478240096,1
2024-12-01,A DIVISION,3,13,0,0.7128522478240096,1
2024-12-01,A DIVISION,3,9,0,0.7128522478240096,1
2024-12-01,A DIVISION,3,4,0,0.7128522478240096,1
2024-12-01,A DIVISION,3,15,0,0.7128522478240096,1
2024-12-01,A DIVISION,3,3,0,0.7128522478240096,1
2024-12-01,A DIVISION,3,159,0,0.7128522478240096,1
2024-12-01,A DIVISION,3,11,0,0.7128522478240096,1
2024-12-01,A DIVISION,3,41,0,0.7128522478240096,1
2024-12-01,A DIVISION,3,75,0,0.7128522478240096,1
2024-12-01,A DIVISION,3,76,0,0.7128522478240096,0
2024-12-01,A DIVISION,3,58,0,0.7128522478240096,0
2024-12-01,A DIVISION,3,81,0,0.7128522478240096,0
2024-12-01,A DIVISION,3,173,0,0.7128522478240096,0
2024-12-01,A DIVISION,3,142,0,0.7128522478240096,0
2024-12-01,A DIVISION,3,22,1,0.7128522478240096,0
2024-12-01,A DIVISION,3,3,1,0.7128522478240096,0
2024-12-01,A DIVISION,3,10,1,0.7128522478240096,1
2024-12-01,A DIVISION,3,2,1,0.7128522478240096,1
2024-12-01,A DIVISION,3,3,1,0.7128522478240096,1
2024-12-01,A DIVISION,3,8,1,0.7128522478240096,1
2024-12-01,A DIVISION,3,49,1,0.7128522478240096,1
2024-12-01,A DIVISION,3,1,1,0.7128522478240096,1
2024-12-01,A DIVISION,3,15,1,0.7128522478240096,1
2024-12-01,A DIVISION,3,66,1,0.7128522478240096,0
2024-12-01,A DIVISION,3,7,1,0.7128522478240096,0
2024-12-01,A DIVISION,3,60,1,0.7128522478240096,0
2024-12-01,A DIVISION,3,3,1,0.7128522478240096,0
2024-12-01,A DIVISION,3,15,1,0.7128522478240096,0
2024-12-01,A DIVISION,3,42,1,0.7128522478240096,0
2024-12-01,A DIVISION,3,15,1,0.7128522478240096,0
2024-12-01,A DIVISION,4,65,0,1.0138646745462148,0
2024-12-01,A DIVISION,4,10,0,1.0138646745462148,0
2024-12-01,A DIVISION,4,36,0,1.0138646745462148,1
2024-12-01,A DIVISION,4,23,0,1.0138646745462148,1
2024-12-01,A DIVISION,4,36,0,1.0138646745462148,1
2024-12-01,A DIVISION,4,38,0,1.0138646745462148,1
2024-12-01,A DIVISION,4,1,0,1.0138646745462148,1
2024-12-01,A DIVISION,4,280,0,1.0138646745462148,1
2024-12-01,A DIVISION,4,16,0,1.0138646745462148,1
2024-12-01,A DIVISION,4,10,0,1.0138646745462148,1
2024-12-01,A DIVISION,4,90,0,1.0138646745462148,1
2024-12-01,A DIVISION,4,17,0,1.0138646745462148,1
2024-12-01,A DIVISION,4,132,0,1.0138646745462148,0
2024-12-01,A DIVISION,4,5,0,1.0138646745462148,0
2024-12-01,A DIVISION,4,95,0,1.0138646745462148,0
